Target	Standart	Three	Penalty	Bonus
1	0.009873	0	0.019982	0.000105
2	0.010077	0	0.0197	0.000297
3	0.009975	0.004594	0.01946	0.00051
4	0.009873	0.01397	0.019073	0.000724
5	0.010003	0.027651	0.019041	0.000869
6	0.010029	0.046356	0.019059	0.001115
7	0.009998	0.069215	0.018838	0.001268
8	0.01011	0.097447	0.018476	0.001476
9	0.009997	0.115718	0.018086	0.001699
10	0.009981	0.125234	0.018102	0.001941
11	0.010121	0.125072	0.017799	0.002143
12	0.009879	0.11601	0.017779	0.002267
13	0.010062	0.097172	0.017479	0.002511
14	0.010168	0.069557	0.017507	0.002647
15	0.010011	0.046523	0.017193	0.002831
16	0.009984	0.027774	0.016904	0.003013
17	0.009831	0.013796	0.016487	0.003146
18	0.010008	0.004616	0.016336	0.003592
19	0.010044	0	0.01629	0.003743
20	0.009806	0	0.016182	0.003978
21	0.009928	0	0.015968	0.00417
22	0.009953	0	0.015509	0.004367
23	0.010079	0	0.015575	0.004496
24	0.010122	0	0.015322	0.004802
25	0.010021	0	0.01509	0.004754
26	0.009965	0	0.01497	0.00512
27	0.010083	0	0.014759	0.005324
28	0.010051	0	0.014503	0.005436
29	0.010013	0	0.014241	0.005747
30	0.010057	0	0.01398	0.005719
31	0.010023	0	0.013914	0.006151
32	0.010052	0	0.013835	0.006453
33	0.009971	0	0.013481	0.006597
34	0.010031	0	0.013184	0.006505
35	0.009966	0	0.013288	0.0068
36	0.009894	0	0.013058	0.006991
37	0.009993	0	0.012805	0.007261
38	0.010047	0	0.012291	0.007608
39	0.010049	0	0.012263	0.007732
40	0.010086	0	0.012135	0.007828
41	0.009933	0	0.011785	0.008129
42	0.00999	0	0.011488	0.008109
43	0.009903	0	0.011554	0.008502
44	0.010159	0	0.011107	0.008848
45	0.010031	0	0.011076	0.008805
46	0.009948	0	0.010795	0.008909
47	0.009968	0	0.010825	0.009471
48	0.009865	0	0.010541	0.0093
49	0.009882	0	0.010371	0.009621
50	0.009945	0	0.010058	0.009751
51	0.009969	0	0.009914	0.010164
52	0.010085	0	0.009646	0.010332
53	0.009972	0	0.009396	0.010516
54	0.010031	0	0.00935	0.010633
55	0.010062	0	0.009006	0.010834
56	0.009829	0	0.008868	0.011092
57	0.010115	0	0.008527	0.011157
58	0.010019	0	0.008726	0.011484
59	0.010054	0	0.008349	0.011664
60	0.009726	0	0.008132	0.011848
61	0.010039	0	0.007911	0.012176
62	0.010039	0	0.007597	0.012268
63	0.01012	0	0.007556	0.012421
64	0.010036	0	0.007212	0.012783
65	0.010069	0	0.006977	0.012962
66	0.010021	0	0.00702	0.013084
67	0.009937	0	0.006609	0.01343
68	0.009985	0	0.006502	0.013639
69	0.009945	0	0.006277	0.013644
70	0.010009	0	0.006085	0.01422
71	0.0099	0	0.005835	0.013897
72	0.010096	0	0.005669	0.014324
73	0.010012	0	0.005505	0.014452
74	0.009882	0	0.005291	0.014619
75	0.010069	0	0.005232	0.014933
76	0.010104	0	0.004949	0.015079
77	0.010004	0	0.004705	0.015642
78	0.00987	0	0.00454	0.015571
79	0.010077	0	0.004337	0.015712
80	0.009864	0	0.004133	0.015956
81	0.009868	0	0.003932	0.01602
82	0.009893	0	0.003734	0.01618
83	0.009911	0	0.003522	0.016576
84	0.010031	0	0.003272	0.016978
85	0.009901	0	0.003045	0.016877
86	0.010062	0	0.002875	0.017006
87	0.009749	0	0.002689	0.017389
88	0.010029	0	0.002491	0.017437
89	0.009871	0	0.002244	0.01764
90	0.009992	0	0.00214	0.017924
91	0.010015	0	0.001951	0.018166
92	0.009872	0	0.001851	0.018392
93	0.010018	0	0.001564	0.018413
94	0.010006	0	0.0013	0.018708
95	0.010036	0	0.001065	0.018788
96	0.010052	0	0.0009	0.018973
97	0.009941	0	0.000706	0.019455
98	0.010088	0	0.000467	0.019542
99	0.009996	0	0.000335	0.019506
